league,playoffs,date,game,patch,gamelength,blue_playerid,result,firstblood,firstdragon,blue_dragons,blue_elementaldrakes,blue_infernals,blue_mountains,blue_clouds,blue_oceans,blue_elders,firstherald,blue_heralds,firstbaron,blue_barons,firsttower,blue_towers,firstmidtower,firsttothreetowers,blue_inhibitors,red_playerid,red_dragons,red_elementaldrakes,red_infernals,red_mountains,red_clouds,red_oceans,red_elders,red_heralds,red_barons,red_towers,red_inhibitors,blue_totalgold,blue_earnedgold,blue_spentgold,blue_goldat10,blue_goldat15,red_totalgold,red_earnedgold,red_spentgold,red_goldat10,red_goldat15,blue_totalgold_diff,red_totalgold_diff,blue_earnedgold_diff,red_earnedgold_diff,blue_spentgold_diff,red_spentgold_diff,blue_gold_diffat10,red_gold_diffat10,blue_gold_diffat15,red_gold_diffat15
LPL,False,2020-01-13 09:22:00,1,10.1,2640,Invictus Gaming,True,False,False,2,1.0,1.0,0.0,0.0,0.0,1.0,True,1.0,False,1,True,8,False,False,1.0,FunPlus Phoenix,4,4.0,2.0,1.0,0.0,1.0,0.0,1.0,1,8,2.0,82426,54121,77050.0,14522.0,24015.0,75178,46873,72650.0,15355.0,24974.0,7248,-7248,7248,-7248,4400.0,-4400.0,-833.0,833.0,-959.0,959.0
LPL,False,2020-01-13 11:26:00,1,10.1,2283,LGD Gaming,True,True,False,3,3.0,2.0,0.0,1.0,0.0,0.0,True,2.0,False,0,False,7,True,True,1.0,LNG Esports,2,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1,6,1.0,64849,40184,58543.0,15412.0,24351.0,62230,37565,58260.0,14660.0,22340.0,2619,-2619,2619,-2619,283.0,-283.0,752.0,-752.0,2011.0,-2011.0
LPL,False,2020-01-13 11:31:00,3,10.1,1943,Invictus Gaming,True,False,True,2,2.0,1.0,1.0,0.0,0.0,0.0,True,2.0,True,1,True,7,True,True,1.0,FunPlus Phoenix,2,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0,3,0.0,60121,38926,52825.0,14465.0,22940.0,53134,31939,52637.0,14951.0,23525.0,6987,-6987,6987,-6987,188.0,-188.0,-486.0,486.0,-585.0,585.0
LPL,False,2020-01-13 12:29:00,2,10.1,1517,LNG Esports,True,True,True,4,4.0,1.0,1.0,2.0,0.0,0.0,False,1.0,True,1,False,11,True,True,4.0,LGD Gaming,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,0.0,51642,34792,43275.0,17029.0,29370.0,40168,23318,38180.0,16567.0,24071.0,11474,-11474,11474,-11474,5095.0,-5095.0,462.0,-462.0,5299.0,-5299.0
LPL,False,2020-01-13 13:17:00,3,10.1,2116,LGD Gaming,False,True,False,3,3.0,2.0,1.0,0.0,0.0,0.0,False,1.0,False,0,True,4,True,True,0.0,LNG Esports,3,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2,9,2.0,57236,34276,55660.0,16542.0,25888.0,65816,42856,59875.0,14740.0,24452.0,-8580,8580,-8580,8580,-4215.0,4215.0,1802.0,-1802.0,1436.0,-1436.0
LPL,False,2020-01-14 10:22:00,2,10.1,1934,Rogue Warriors,False,False,False,1,1.0,0.0,0.0,0.0,1.0,0.0,True,2.0,False,0,False,3,True,False,0.0,eStar,4,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2,10,2.0,48939,27834,48100.0,14295.0,21854.0,64369,43264,57120.0,16249.0,24245.0,-15430,15430,-15430,15430,-9020.0,9020.0,-1954.0,1954.0,-2391.0,2391.0
LPL,False,2020-01-14 11:21:00,1,10.1,1666,Oh My God,False,True,True,2,2.0,1.0,0.0,0.0,1.0,0.0,True,1.0,False,0,True,2,False,False,0.0,JD Gaming,2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1,7,1.0,43525,25155,41865.0,15615.0,24234.0,53346,34976,44685.0,16001.0,23934.0,-9821,9821,-9821,9821,-2820.0,2820.0,-386.0,386.0,300.0,-300.0
LPL,False,2020-01-14 12:13:00,2,10.1,1852,Oh My God,False,True,False,1,1.0,0.0,0.0,1.0,0.0,0.0,True,1.0,False,0,True,2,True,False,0.0,JD Gaming,3,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1,8,1.0,48966,28696,47573.0,16065.0,24269.0,56971,36701,47875.0,14708.0,24482.0,-8005,8005,-8005,8005,-302.0,302.0,1357.0,-1357.0,-213.0,213.0
LPL,False,2020-01-15 09:22:00,1,10.1,1776,Vici Gaming,False,False,True,2,2.0,1.0,0.0,0.0,1.0,0.0,False,0.0,False,0,False,0,False,False,0.0,Bilibili Gaming,2,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2,11,5.0,45709,26214,43750.0,13971.0,21709.0,59159,39664,53108.0,16787.0,26769.0,-13450,13450,-13450,13450,-9358.0,9358.0,-2816.0,2816.0,-5060.0,5060.0
LPL,False,2020-01-15 11:20:00,3,10.1,2128,Vici Gaming,False,False,True,2,2.0,1.0,0.0,0.0,1.0,0.0,False,0.0,False,0,False,2,False,False,0.0,Bilibili Gaming,3,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1,9,2.0,56814,33729,54033.0,14532.0,24705.0,66008,42923,61093.0,17279.0,25998.0,-9194,9194,-9194,9194,-7060.0,7060.0,-2747.0,2747.0,-1293.0,1293.0
LPL,False,2020-01-15 12:30:00,1,10.1,1426,Invictus Gaming,True,False,False,1,1.0,0.0,0.0,0.0,1.0,0.0,True,2.0,True,1,True,8,True,True,1.0,Dominus Esports,2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,47329,31404,44875.0,15699.0,26333.0,35712,19787,34978.0,15403.0,22554.0,11617,-11617,11617,-11617,9897.0,-9897.0,296.0,-296.0,3779.0,-3779.0
LPL,False,2020-01-15 13:19:00,2,10.1,1710,Dominus Esports,False,False,True,2,2.0,1.0,0.0,0.0,1.0,0.0,False,0.0,False,0,False,3,False,False,0.0,Invictus Gaming,2,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1,7,1.0,45493,26673,42400.0,14631.0,24299.0,53856,35036,49335.0,14855.0,26038.0,-8363,8363,-8363,8363,-6935.0,6935.0,-224.0,224.0,-1739.0,1739.0
